IP|PUERTO|BD|USUARIO|USOS
10.50.71.69|46044|buro|sysburotienda|1
10.50.71.69|46054|buro|sysburotienda|1
10.50.71.69|46056|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|45990|buro|sysburotienda|1
10.28.231.46|21934|postgres|sysnagios|1
10.50.71.69|46002|infocrediticiacte|sysinfocrediticia|1
10.30.241.167|27563|buro|sysburotienda|1
10.30.241.175|6817|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|43530|buro|sysburotienda|1
10.50.71.69|43532|buro|sysburotienda|1
10.50.71.69|43538|buro|sysburotienda|1
10.50.71.69|43542|buro|sysburotienda|1
10.50.71.69|43550|buro|sysburotienda|1
10.50.71.69|43558|buro|sysburotienda|1
10.50.71.69|43560|buro|sysburotienda|1
10.50.71.69|43576|buro|sysburotienda|1
10.50.71.69|43592|buro|sysburotienda|1
10.50.71.69|43600|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|43616|infocrediticiacte|sysinfocrediticia|1
